DWA_ID,DWA_Title,step_order,action_description,key_challenge,mapped_stage,cognitive_or_physical,K7_macro,label_MPNet,conf_MPNet,label_BGE,conf_BGE,agree,human_label,human_notes
4.A.3.b.4.I02.D12,Apply lubricants or coolants to workpieces.,5,Position the workpiece on a flat surface to ensure even application.,Stable workpiece positioning for uniform coolant distribution,Navigation_Addressing,Physical,Noise,Embodied,0.5121,Embodied,0.68,True,Embodied,
4.A.4.a.6.I03.D11,"Model cosmetics, clothing, or accessories.",6,"Repeat steps 3-5 for each subsequent outfit, ensuring a smooth transition between looks.",Maintaining energy and focus throughout the session while adapting to different outfits and poses.,Navigation_Addressing,Physical,Noise,Embodied,0.717,Embodied,0.3684,True,Embodied,
4.A.3.a.2.I34.D06,Run wiring to connect equipment.,4,"Strip insulation from the wire ends, exposing the conductive core for connection.",Precision and avoiding damage to the wire,Manipulation_Execution,Physical,Noise,Embodied,0.9637,Multimodal_Perception,0.3999,False,Embodied,
4.A.2.a.3.I01.D06,Verify shipping documentation.,7,Sign and date the bill of lading and customs declaration form to confirm verification.,Maintaining document integrity and security,Manipulation_Execution,Physical,M1,Embodied,0.6849,LLM,0.5039,False,Human_Bound,"在海关/提单上签字确认=法律担责行为,需人类签署,选Human_Bound"
4.A.3.a.1.I10.D01,Transport biological or other medical materials.,7,Complete any necessary documentation or electronic logging to record the sample delivery.,Maintaining accurate records.,Feedback_Verification,Cognitive,M2,Embodied,0.5834,LLM,0.5837,False,LLM,
4.A.3.a.2.I18.D01,Direct vehicle traffic.,4,"Monitor the movement of the first group of vehicles, ensuring they proceed safely through the intersection.",Anticipating and responding to unexpected driver behavior.,Feedback_Verification,Cognitive,M1,Embodied,0.3704,Multimodal_Perception,0.5351,False,Multimodal_Perception,
4.A.4.c.3.I03.D01,Distribute instructional or library materials.,7,Confirm receipt and address any questions or concerns from the recipient.,Ensuring clear understanding and satisfaction,Feedback_Verification,Cognitive,M1,Embodied,0.5883,Human_Bound,0.5852,False,Human_Bound,
4.A.4.c.3.I01.D06,Maintain the inventory of equipment.,4,"Update the quantity, location, and condition of each item in the inventory system.",Data entry accuracy and system usability,Manipulation_Execution,Cognitive,M1,Embodied,0.5736,LLM,0.6684,False,LLM,
4.A.3.a.2.I21.D03,Apply solutions to hair for therapeutic or cosmetic purposes.,4,Prepare the treatment solution according to the manufacturer's instructions and the client's hair type.,Precise measurement and mixing for optimal results.,Manipulation_Execution,Physical,Noise,Embodied,0.4402,Human_Bound,0.409,False,Embodied,
4.A.4.a.5.I10.D07,Help patrons use library or archival resources.,1,Greet the patron and inquire about their research topic or specific document needs.,Establishing clear understanding of patron's information needs.,Intent_Communication,Cognitive,Noise,Human_Bound,0.5513,Human_Bound,0.6069,True,Human_Bound,
4.A.3.a.1.I11.D11,Search individuals for illegal or dangerous items.,2,Obtain verbal consent from the individual for the search.,,Intent_Communication,Cognitive,M4,Human_Bound,0.9152,Human_Bound,0.771,True,Human_Bound,
4.A.4.a.2.I03.D20,Exchange information with colleagues.,1,"Access the team's communication platform (e.g., Slack, Microsoft Teams) and navigate to the relevant channel or direct message.",Platform familiarity and efficient navigation,Intent_Communication,Physical,Noise,Human_Bound,0.5942,Human_Bound,0.391,True,Human_Bound,
4.A.2.a.2.I05.D04,Verify accuracy of patient information.,11,Wish the patient a pleasant day and direct them to the waiting area or next available staff member.,Providing clear directions and maintaining a positive patient experience.,Intent_Communication,Cognitive,M6,Human_Bound,0.92,Human_Bound,0.5753,True,Human_Bound,
4.A.4.c.3.I04.D02,Collect fares or payment from customers.,1,The bus driver greets the passenger and clearly states the fare amount.,Ensuring clear communication in a potentially noisy environment.,Intent_Communication,Cognitive,M1,Human_Bound,0.3746,Human_Bound,0.5251,True,Human_Bound,
4.A.1.b.2.I01.D03,Test patient hearing.,2,Escort the patient to the soundproof booth and ensure comfortable seating.,Ensuring patient comfort and proper positioning,Navigation_Addressing,Physical,M6,Human_Bound,0.8537,Human_Bound,0.5766,True,Human_Bound,
4.A.4.c.1.I03.D06,Process customer bills or payments.,7,Update the customer's account status to reflect the payment.,Maintaining data integrity and accuracy in the system.,Manipulation_Execution,Physical,M6,Human_Bound,0.5716,Human_Bound,0.5082,True,Human_Bound,
4.A.4.a.7.I02.D06,Negotiate financial arrangements.,6,"The financial advisor drafts the loan agreement, incorporating the agreed-upon terms and conditions.",Ensuring legal accuracy and completeness of the agreement,Manipulation_Execution,Cognitive,M6,Human_Bound,0.5004,Human_Bound,0.5925,True,Human_Bound,
4.A.4.a.5.I02.D04,Administer therapeutic massages.,1,"Greet the client, confirm appointment details, and inquire about specific pain points, desired pressure, and any areas to avoid.",Establishing rapport and understanding client needs,Intent_Communication,Cognitive,M6,Human_Bound,0.7571,Human_Bound,0.7021,True,Human_Bound,
4.A.4.a.8.I03.D06,Correspond with customers to answer questions or resolve complaints.,8,Thank the customer for their patience and end the call/email professionally.,Leaving a positive final impression,Feedback_Verification,Cognitive,M6,Human_Bound,0.7909,Human_Bound,0.666,True,Human_Bound,
4.A.4.a.3.I02.D07,Report news to the public.,2,"Contact relevant authorities, affected parties, or news sources for official confirmation and additional details.",Establishing effective communication and obtaining accurate information.,Intent_Communication,Cognitive,Noise,Human_Bound,0.861,Human_Bound,0.5952,True,Human_Bound,
4.A.3.a.2.I17.D02,Make patient-assistive devices or device models.,1,"Consult with the patient to understand their needs, limitations, and desired functionality.",Establishing clear communication and rapport with the patient.,Intent_Communication,Cognitive,M6,Human_Bound,0.8272,Human_Bound,0.8192,True,Human_Bound,
4.A.4.b.4.I01.D05,Supervise production or support personnel.,2,"Conduct a brief safety huddle with the team, addressing any concerns or changes in protocols and ensuring proper PPE usage.",Balancing concise communication with thorough safety reinforcement.,Intent_Communication,Cognitive & Physical,Noise,Human_Bound,0.4704,Human_Bound,0.4316,True,Human_Bound,
4.A.1.b.2.I09.D04,"Examine mouth, teeth, gums, or related facial structures.",2,Position the patient in the dental chair and adjust lighting for optimal visibility.,Ergonomic considerations for both patient and clinician,Navigation_Addressing,Physical,M6,Human_Bound,0.469,Human_Bound,0.3984,True,Human_Bound,
4.A.1.a.2.I06.D05,Enforce rules or policies governing student behavior.,4,Discreetly address any observed violations by approaching the student and reminding them of the relevant policy.,Balancing firmness with empathy,Navigation_Addressing,Physical,M6,Human_Bound,0.8738,Human_Bound,0.5674,True,Human_Bound,
4.A.2.b.3.I01.D11,Update job related knowledge or skills.,5,"Seek clarification or assistance when encountering difficulties: online forums, mentors, peers.",Overcoming learning plateaus and roadblocks.,Intent_Communication,Cognitive,M6,Human_Bound,0.7462,Human_Bound,0.703,True,Human_Bound,
4.A.4.b.3.I05.D02,Instruct patients in the use of assistive equipment.,5,"Guide the patient through initial practice, providing hands-on assistance and verbal cues as needed.",Balancing support with encouraging independence,Manipulation_Execution,Physical & Cognitive,M6,Human_Bound,0.9281,Human_Bound,0.5189,True,Human_Bound,
4.A.4.b.6.I10.D04,Counsel clients regarding interpersonal issues.,6,Help the client choose one concrete action step they can take to address their interpersonal issue.,Selecting a realistic and achievable action,Manipulation_Execution,Cognitive,M6,Human_Bound,0.8748,Human_Bound,0.8546,True,Human_Bound,
4.A.4.a.2.I12.D01,Meet with individuals involved in legal processes to provide information and clarify issues.,3,"Provide a clear and concise overview of the relevant legal issues, avoiding jargon.",Tailoring communication to the client's understanding.,Intent_Communication,Cognitive,M6,Human_Bound,0.8238,Human_Bound,0.5157,True,Human_Bound,
4.A.4.b.6.I10.D06,Counsel clients on mental health or personal achievement.,5,Teach and practice a specific coping skill or relaxation technique with the client.,Effective demonstration and client engagement,Manipulation_Execution,Physical & Cognitive,M6,Human_Bound,0.9536,Human_Bound,0.7592,True,Human_Bound,
4.A.4.a.5.I07.D04,Implement advanced life support techniques.,5,Deliver an electrical shock if advised by the AED.,Safely administering the shock and ensuring proper electrode placement.,Manipulation_Execution,Physical,M6,Human_Bound,0.5769,Human_Bound,0.5961,True,Human_Bound,
4.A.4.a.2.I05.D03,Collaborate with other professionals to assess client needs or plan treatments.,3,"Discuss and agree upon potential treatment goals, considering the client's input and preferences.",Balancing professional expertise with client autonomy and shared decision-making.,Intent_Communication,Cognitive,M6,Human_Bound,0.9793,Human_Bound,0.8368,True,Human_Bound,
4.A.4.a.8.I03.D02,Respond to customer inquiries.,7,Confirm with the customer that their issue is resolved and they are satisfied with the outcome.,Gauging customer satisfaction and addressing any remaining concerns.,Feedback_Verification,Cognitive,M6,Human_Bound,0.5421,Human_Bound,0.6984,True,Human_Bound,
4.A.3.a.2.I09.D01,Adjust tuning or functioning of musical instruments.,7,"If applicable, the tuner consults with the performer, playing specific passages and adjusting the tuning based on their feedback.",Interpreting and responding to subjective preferences,Intent_Communication,Cognitive,Noise,Human_Bound,0.4177,Human_Bound,0.4097,True,Human_Bound,
4.A.4.b.6.I01.D01,"Provide health and wellness advice to patients, program participants, or caregivers.",7,"Collaboratively set realistic and achievable goals with the patient, outlining specific action steps.",Motivational interviewing and goal-setting techniques,Manipulation_Execution,Cognitive,M6,Human_Bound,0.8659,Human_Bound,0.4911,True,Human_Bound,
4.A.4.a.5.I09.D03,Assist clients in handling details of daily life.,4,"Assist the client in taking their medications, ensuring the correct dosage and timing.",Accurately manage and administer medications.,Manipulation_Execution,Physical,M6,Human_Bound,0.8405,Human_Bound,0.5764,True,Human_Bound,
4.A.4.a.3.I01.D02,Represent the interests of clients in legal proceedings.,7,"After the proceedings, debrief with the client, explaining the outcome, next steps, and addressing any questions.",Communicating complex legal information clearly and empathetically.,Feedback_Verification,Cognitive,M4,Human_Bound,0.9429,Human_Bound,0.7622,True,Human_Bound,
4.A.4.a.5.I01.D03,Help clients get needed services or resources.,2,"Actively listen to the client's situation, concerns, and desired outcomes.",Ensuring accurate understanding of the client's unique circumstances.,Intent_Communication,Cognitive,M6,Human_Bound,0.8618,Human_Bound,0.7688,True,Human_Bound,
4.A.4.b.3.I06.D02,Engage patients in exercises or activities.,8,"The physical therapist summarizes the session's progress, sets goals for the next session, and answers any patient questions.",Providing clear and concise information to promote patient understanding and engagement.,Intent_Communication & Feedback_Verification,Cognitive,M6,Human_Bound,0.753,Human_Bound,0.4696,True,Human_Bound,
4.A.4.b.6.I10.D02,Counsel clients or patients with substance abuse issues.,5,Collaboratively brainstorm and discuss potential coping mechanisms tailored to the client's needs.,Empowering the client in the decision-making process.,Manipulation_Execution,Cognitive,M6,Human_Bound,0.9172,Human_Bound,0.7264,True,Human_Bound,
4.A.4.b.3.I01.D03,Teach daily living skills or behaviors.,6,"The student practices the skill independently, applying the teacher's guidance and feedback.",Encouraging self-directed learning and problem-solving.,Manipulation_Execution,Cognitive & Physical,M6,Human_Bound,0.5685,Embodied,0.4362,False,Human_Bound,
4.A.4.a.1.I05.D02,Confer with family members to discuss client treatment plans or progress.,8,Document the agreed-upon changes to the treatment plan.,Accuracy and clarity in documentation.,Manipulation_Execution,Physical,M6,Human_Bound,0.8311,LLM,0.5455,False,LLM,
4.A.1.a.1.I23.D03,Interview clients to gather financial information.,5,"If necessary, provide relevant financial documents or forms for the client to review and complete.",Selecting appropriate documents and ensuring accessibility,Navigation_Addressing,Physical,M6,Human_Bound,0.5521,LLM,0.5345,False,LLM,
4.A.4.c.3.I06.D04,Prescribe assistive medical devices or related treatments.,10,"Document the prescription, including the patient's name, device type, specific instructions, and any follow-up plans.",,Feedback_Verification,Cognitive,M6,Human_Bound,0.7326,LLM,0.691,False,LLM,
4.A.4.a.5.I01.D03,Help clients get needed services or resources.,3,"Identify the specific services and resources the client needs (e.g., food assistance, healthcare, childcare).",Accurately assessing needs and prioritizing them based on urgency and impact.,Intent_Communication,Cognitive,M6,Human_Bound,0.6225,LLM,0.585,False,Human_Bound,
4.A.3.b.6.I03.D06,Write reports or evaluations.,7,Save the report in the appropriate format and share it with the intended recipient(s).,Ensuring secure and timely delivery.,Intent_Communication,Physical,M4,Human_Bound,0.4744,LLM,0.667,False,LLM,
4.A.4.a.5.I11.D08,Maintain sterile operative fields.,8,"Maintain the sterile field throughout the entire surgical procedure, ensuring all actions comply with sterility protocols.",Continuous adherence to sterility protocols.,Feedback_Verification,Cognitive,M6,Human_Bound,0.5843,Embodied,0.3428,False,Embodied,
