DWA_ID,step_order,action_description,cluster_id,intelligence_type_A,confidence_A,conf_A_LLM,conf_A_Multimodal_Perception,conf_A_Embodied,conf_A_Human_Bound
4.A.1.a.2.I05.D01,7,Document all observations and findings in the patient's chart.,1,LLM,0.7321,0.7321,0.1401,0.0131,0.1147
4.A.1.a.2.I05.D01,8,Communicate any significant changes or concerns to the attending physician or relevant healthcare professionals.,1,Human_Bound,0.7299,0.2159,0.0417,0.0125,0.7299
4.A.2.a.1.I02.D02,1,"Define the program's objectives, target population, and expected outcomes.",-1,LLM,0.7064,0.7064,0.0487,0.0737,0.1712
4.A.2.a.1.I02.D02,2,"Select appropriate evaluation methods (e.g., pre/post-tests, surveys, focus groups) aligned with the program objectives.",-1,LLM,0.7935,0.7935,0.0858,0.035,0.0856
4.A.2.a.1.I02.D02,3,"Collect baseline data using chosen methods, ensuring ethical data handling and participant confidentiality.",17,LLM,0.5698,0.5698,0.0978,0.0874,0.2451
4.A.2.a.1.I02.D02,4,"Implement the program as designed, monitoring fidelity to the intended intervention.",-1,LLM,0.472,0.472,0.2443,0.1066,0.177
4.A.2.a.1.I02.D02,5,"Collect post-program data using the same methods as baseline, ensuring consistent conditions.",-1,LLM,0.7274,0.7274,0.1437,0.0696,0.0593
4.A.2.a.1.I02.D02,6,Analyze data using appropriate statistical methods to compare pre and post-program results and identify significant changes.,17,LLM,0.7259,0.7259,0.1673,0.0203,0.0865
4.A.2.a.1.I02.D02,7,"Synthesize quantitative and qualitative findings into a comprehensive report, including limitations and recommendations.",17,LLM,0.9305,0.9305,0.0127,0.0073,0.0495
4.A.2.a.1.I02.D02,8,"Disseminate findings to stakeholders (e.g., program staff, funders, participants) through presentations and reports.",29,LLM,0.6565,0.6565,0.0486,0.0558,0.2391
4.A.3.a.1.I12.D04,1,"Confirm outing details (destination, duration) and discuss patient preferences with the patient.",1,Human_Bound,0.8459,0.1227,0.0151,0.0164,0.8459
4.A.3.a.1.I12.D04,2,Prepare necessary mobility aids and ensure they are in good working condition.,-1,Embodied,0.4604,0.1522,0.2829,0.4604,0.1046
4.A.3.a.1.I12.D04,3,"Assist the patient in getting dressed and ready for the outing, considering weather conditions and comfort.",1,Human_Bound,0.5163,0.1696,0.1627,0.1514,0.5163
4.A.3.a.1.I12.D04,4,"Navigate to the destination, ensuring patient comfort and safety throughout the journey.",1,Embodied,0.3696,0.1125,0.2437,0.3696,0.2742
4.A.3.a.1.I12.D04,5,Help the patient settle into a comfortable location at the destination.,1,Human_Bound,0.5146,0.0574,0.0973,0.3307,0.5146
4.A.3.a.1.I12.D04,6,"Engage in conversation, monitor the patient's well-being, and address any needs or concerns.",1,Human_Bound,0.7561,0.1269,0.0929,0.0241,0.7561
4.A.3.a.1.I12.D04,7,"Assist the patient in preparing to return home, ensuring they are comfortable and ready for the journey.",1,Human_Bound,0.565,0.1188,0.1371,0.1792,0.565
4.A.3.a.1.I12.D04,8,"Navigate back to the residence, prioritizing patient safety and comfort.",1,Human_Bound,0.4669,0.1135,0.2136,0.206,0.4669
4.A.3.a.1.I12.D04,9,Assist the patient in entering their residence safely.,1,Human_Bound,0.4838,0.0515,0.1308,0.3339,0.4838
4.A.2.b.2.I18.D14,1,Review the presentation brief and identify key data points and messages to be conveyed.,22,LLM,0.8037,0.8037,0.0667,0.0166,0.1131
4.A.2.b.2.I18.D14,2,"Open the appropriate data visualization software (e.g., Tableau, Power BI) and locate the relevant data file.",16,LLM,0.568,0.568,0.2815,0.1056,0.0449
4.A.2.b.2.I18.D14,3,Import the data and examine its structure to understand the available fields and potential relationships.,16,LLM,0.7625,0.7625,0.0791,0.0652,0.0931
4.A.2.b.2.I18.D14,4,"Select appropriate chart types based on the data and the intended message (e.g., bar chart, line graph, pie chart).",17,LLM,0.7834,0.7834,0.1259,0.0448,0.0459
4.A.2.b.2.I18.D14,5,"Create the charts by selecting data ranges, defining axes, and customizing visual elements (e.g., colors, labels).",17,LLM,0.7011,0.7011,0.1332,0.135,0.0307
4.A.2.b.2.I18.D14,6,"Review each chart for accuracy, clarity, and consistency with the overall presentation narrative.",-1,LLM,0.7836,0.7836,0.1393,0.0192,0.0579
4.A.2.b.2.I18.D14,7,"Refine the charts by adding titles, labels, annotations, and formatting to enhance understanding and visual appeal.",17,LLM,0.6525,0.6525,0.2025,0.0699,0.0752
4.A.2.b.2.I18.D14,8,"Export the charts in a suitable format (e.g., PNG, PDF) for integration into the presentation or report.",17,LLM,0.7255,0.7255,0.1176,0.1016,0.0554
4.A.3.a.2.I04.D08,1,Review the maintenance manual and system diagrams to understand the part's location and specifications.,-1,LLM,0.5075,0.5075,0.3735,0.0703,0.0487
4.A.3.a.2.I04.D08,2,"Gather the necessary replacement part, tools, and safety equipment.",-1,Embodied,0.4798,0.2213,0.2486,0.4798,0.0504
4.A.3.a.2.I04.D08,3,Navigate to the equipment and locate the access point for the faulty part.,34,Multimodal_Perception,0.7031,0.0752,0.7031,0.1598,0.062
4.A.3.a.2.I04.D08,4,Disconnect power supply and secure the work area.,34,Embodied,0.4653,0.0663,0.3717,0.4653,0.0966
4.A.3.a.2.I04.D08,5,"Remove the old part, noting connections and configurations.",-1,LLM,0.3674,0.3674,0.3486,0.1661,0.118
4.A.3.a.2.I04.D08,6,Inspect the mounting area and clean it if necessary.,34,Multimodal_Perception,0.7957,0.05,0.7957,0.1035,0.0507
4.A.3.a.2.I04.D08,7,"Install the new part, aligning it correctly and securing it according to specifications.",-1,Embodied,0.3829,0.2153,0.2973,0.3829,0.1045
4.A.3.a.2.I04.D08,8,"Reconnect any necessary connections and cables, ensuring proper polarity and secure connections.",34,Multimodal_Perception,0.3732,0.1603,0.3732,0.3108,0.1557
4.A.3.a.2.I04.D08,9,Power on the system and test the functionality of the new part.,-1,Multimodal_Perception,0.5917,0.1137,0.5917,0.1723,0.1223
4.A.3.a.2.I04.D08,10,"Document the installation process, including any adjustments made.",-1,LLM,0.5777,0.5777,0.2365,0.0736,0.1122
4.A.1.b.3.I01.D04,1,Retrieve the product and the appropriate measuring tool.,-1,Multimodal_Perception,0.4536,0.2754,0.4536,0.1754,0.0956
4.A.1.b.3.I01.D04,2,Identify the specific points on the product requiring measurement.,-1,Multimodal_Perception,0.5548,0.2753,0.5548,0.1306,0.0393
4.A.1.b.3.I01.D04,3,Position the measuring tool on the identified points.,-1,Multimodal_Perception,0.5573,0.0991,0.5573,0.3111,0.0325
4.A.1.b.3.I01.D04,4,Take the measurement reading from the tool.,-1,Multimodal_Perception,0.7988,0.0698,0.7988,0.0964,0.035
4.A.1.b.3.I01.D04,5,Record the measurement in the designated log or system.,-1,Multimodal_Perception,0.5324,0.3464,0.5324,0.0665,0.0546
4.A.1.b.3.I01.D04,6,Compare the recorded measurement to the acceptable tolerance range.,-1,Multimodal_Perception,0.7346,0.1093,0.7346,0.0812,0.075
4.A.2.b.2.I13.D02,1,"Review and understand the project specifications, including required performance, environmental conditions, and any relevant industry standards.",32,LLM,0.7907,0.7907,0.131,0.0174,0.0609
4.A.2.b.2.I13.D02,2,"Research existing materials and technologies relevant to the application, analyzing their strengths, weaknesses, and suitability.",32,LLM,0.7177,0.7177,0.1908,0.0442,0.0472
4.A.2.b.2.I13.D02,3,"Identify potential material candidates based on the research and initial analysis, considering factors like cost, availability, and processing requirements.",27,LLM,0.805,0.805,0.0882,0.0489,0.058
4.A.2.b.2.I13.D02,4,Design and simulate the behavior of selected materials under relevant conditions using computer-aided design (CAD) and finite element analysis (FEA) tools.,27,Multimodal_Perception,0.3491,0.3149,0.3491,0.2647,0.0713
4.A.2.b.2.I13.D02,5,Prepare and test prototype samples of the most promising materials using appropriate laboratory techniques.,-1,LLM,0.3258,0.3258,0.3148,0.2446,0.1148
4.A.2.b.2.I13.D02,6,"Analyze the test results, comparing them to the design criteria and identifying areas for improvement.",20,LLM,0.5618,0.5618,0.3369,0.0233,0.078
4.A.2.b.2.I13.D02,7,"Refine the material design based on the test results and simulation data, iterating until the desired specifications are met.",-1,LLM,0.5507,0.5507,0.238,0.1538,0.0575
4.A.2.b.2.I13.D02,8,"Document the final material composition, properties, and testing procedures in a comprehensive report.",27,LLM,0.8882,0.8882,0.0535,0.0275,0.0309
4.A.2.b.2.I23.D07,1,Review existing literature on environmental research methods relevant to the target area and research question.,13,LLM,0.8454,0.8454,0.0514,0.0262,0.077
4.A.2.b.2.I23.D07,2,"Define specific research questions, hypotheses, and the scope of the study.",17,LLM,0.6909,0.6909,0.0522,0.0441,0.2128
4.A.2.b.2.I23.D07,3,"Design a methodology for data collection, including selecting appropriate tools, techniques, and sampling locations.",17,LLM,0.9004,0.9004,0.0302,0.0354,0.034
4.A.2.b.2.I23.D07,4,Conduct a pilot study to test the methodology and refine the data collection process.,17,LLM,0.7009,0.7009,0.0991,0.0493,0.1508
4.A.2.b.2.I23.D07,5,"Develop a plan for data analysis, including selecting appropriate statistical techniques and software.",17,LLM,0.9043,0.9043,0.0344,0.0259,0.0354
4.A.2.b.2.I23.D07,6,Collect and preprocess the data according to the established methodology.,-1,LLM,0.8039,0.8039,0.056,0.0859,0.0542
4.A.2.b.2.I23.D07,7,"Analyze the data, statistically evaluate the results, and draw conclusions related to the research questions.",17,LLM,0.8013,0.8013,0.078,0.032,0.0887
4.A.2.b.2.I23.D07,8,"Document the complete research methodology, including data collection, analysis, and results.",17,LLM,0.9372,0.9372,0.0185,0.012,0.0324
4.A.4.a.5.I04.D02,1,Review the daily care checklist and identify animals with special needs.,-1,LLM,0.4923,0.4923,0.2721,0.0662,0.1695
4.A.4.a.5.I04.D02,2,"Navigate to the designated animal enclosure, starting with those requiring special care.",-1,Embodied,0.5594,0.1175,0.0992,0.5594,0.2238
4.A.4.a.5.I04.D02,3,"Observe the animal for signs of distress, illness, or changes in behavior.",-1,Multimodal_Perception,0.6686,0.0827,0.6686,0.0294,0.2193
4.A.4.a.5.I04.D02,4,"Administer prescribed medication or treatment, following dosage and method instructions.",1,LLM,0.3836,0.3836,0.0859,0.2259,0.3046
4.A.4.a.5.I04.D02,5,"Provide fresh food and water, ensuring appropriate portions and cleanliness.",7,Embodied,0.3386,0.2971,0.1163,0.3386,0.2479
4.A.4.a.5.I04.D02,6,"Clean the animal's living space, removing waste and soiled bedding.",-1,Embodied,0.4736,0.1682,0.2147,0.4736,0.1435
4.A.4.a.5.I04.D02,7,"Document observations about the animal's health, behavior, and any specific needs.",-1,LLM,0.6855,0.6855,0.1116,0.0222,0.1808
4.A.4.a.5.I04.D02,8,Repeat steps 2-7 for each animal in the shelter.,9,Embodied,0.4081,0.3557,0.1478,0.4081,0.0883
4.A.4.b.6.I02.D03,1,Greet the customer and inquire about their needs or the product they are interested in.,4,Human_Bound,0.6224,0.1588,0.1176,0.1012,0.6224
4.A.4.b.6.I02.D03,2,"Actively listen to the customer, asking clarifying questions to fully grasp their requirements and expectations.",4,Human_Bound,0.6508,0.174,0.1023,0.073,0.6508
4.A.4.b.6.I02.D03,3,"Identify suitable products or solutions based on the customer's needs, leveraging product knowledge and available resources.",4,LLM,0.6455,0.6455,0.0783,0.0985,0.1777
4.A.4.b.6.I02.D03,4,"Clearly explain the key features and benefits of the recommended product(s), tailoring the explanation to the customer's understanding.",4,LLM,0.5269,0.5269,0.0649,0.0595,0.3487
4.A.4.b.6.I02.D03,5,"Demonstrate the product's functionality, highlighting user-friendly features and addressing potential concerns.",4,Multimodal_Perception,0.4016,0.3187,0.4016,0.0538,0.2258
4.A.4.b.6.I02.D03,6,"Encourage the customer to ask questions and provide comprehensive answers, ensuring their understanding and satisfaction.",4,Human_Bound,0.6236,0.2641,0.0574,0.0549,0.6236
4.A.4.b.6.I02.D03,7,Confirm the customer's understanding and satisfaction with the provided information and assistance.,4,Human_Bound,0.6229,0.2389,0.0923,0.0459,0.6229
4.A.4.c.3.I05.D08,1,Review the task requirements to identify the specific supplies or equipment needed.,-1,LLM,0.6954,0.6954,0.177,0.0728,0.0549
4.A.4.c.3.I05.D08,2,"Consult relevant systems (inventory, procurement) to determine availability and location of the items.",27,LLM,0.5911,0.5911,0.1797,0.1161,0.1131
4.A.4.c.3.I05.D08,3,Locate and retrieve the required supplies from their storage locations.,28,Embodied,0.5138,0.2925,0.1536,0.5138,0.0401
4.A.4.c.3.I05.D08,4,"Inspect each item for damage, expiration (if applicable), or any discrepancies.",26,Multimodal_Perception,0.7923,0.1431,0.7923,0.0279,0.0367
4.A.4.c.3.I05.D08,5,"Securely package the supplies for transport, using appropriate containers and safety measures.",28,Embodied,0.8333,0.0768,0.0573,0.8333,0.0327
4.A.4.c.3.I05.D08,6,Transport the supplies to the designated location.,-1,Embodied,0.9354,0.0305,0.0156,0.9354,0.0185
4.A.4.c.3.I05.D08,7,Deliver the supplies and confirm receipt with the relevant personnel.,-1,Embodied,0.4906,0.2373,0.0738,0.4906,0.1983
4.A.2.a.1.I04.D05,1,"Review existing job descriptions, performance records, and project documentation to understand current skill levels and identify potential training needs.",-1,LLM,0.7327,0.7327,0.2012,0.0217,0.0444
4.A.2.a.1.I04.D05,2,Conduct interviews or surveys with individuals to gather self-assessments of their skills and identify areas where they feel they need improvement.,23,LLM,0.5172,0.5172,0.2582,0.0527,0.1719
4.A.2.a.1.I04.D05,3,"Analyze the collected data to identify skill gaps, common challenges, and prioritize training needs.",23,LLM,0.7851,0.7851,0.144,0.0299,0.0411
4.A.2.a.1.I04.D05,4,"Research and select appropriate training resources (e.g., online courses, workshops, mentoring) to address the identified skill gaps.",23,LLM,0.6969,0.6969,0.1168,0.1059,0.0804
4.A.2.a.1.I04.D05,5,"Develop personalized training plans for individuals, outlining specific learning objectives, timelines, and resources.",23,LLM,0.8336,0.8336,0.0322,0.0554,0.0787
4.A.2.a.1.I04.D05,6,"Communicate training plans to individuals, provide access to resources, and offer ongoing support throughout the training process.",23,LLM,0.3978,0.3978,0.0751,0.1362,0.3909
4.A.2.a.1.I04.D05,7,"Evaluate the effectiveness of the training through assessments, feedback surveys, and observation of performance improvements.",23,LLM,0.4744,0.4744,0.4061,0.0356,0.0839
4.A.2.a.1.I04.D05,8,"Document training outcomes, identify areas for improvement in the training process, and update training plans as needed.",23,LLM,0.829,0.829,0.0852,0.0286,0.0572
4.A.3.b.4.I09.D03,1,"Receive the malfunctioning assistive device and consult relevant documentation (manuals, maintenance history) to understand its function and potential issues.",-1,Multimodal_Perception,0.5413,0.2405,0.5413,0.0473,0.1709
4.A.3.b.4.I09.D03,2,"Visually inspect the device for obvious damage, wear, or loose connections.",34,Multimodal_Perception,0.9572,0.0156,0.9572,0.0147,0.0125
4.A.3.b.4.I09.D03,3,"Utilize diagnostic tools (multimeter, software) to pinpoint the specific malfunctioning component.",34,Multimodal_Perception,0.8923,0.0559,0.8923,0.0235,0.0284
4.A.3.b.4.I09.D03,4,"Disassemble the device carefully, keeping track of removed parts and their orientation.",-1,Multimodal_Perception,0.639,0.1081,0.639,0.2184,0.0346
4.A.3.b.4.I09.D03,5,"Replace the faulty component with a new one, ensuring proper connection and alignment.",34,Multimodal_Perception,0.5032,0.1312,0.5032,0.2346,0.1309
4.A.3.b.4.I09.D03,6,"Reassemble the device, verifying the correct placement and connection of all components.",34,Multimodal_Perception,0.4735,0.2002,0.4735,0.2444,0.0819
4.A.3.b.4.I09.D03,7,Test the device's functionality to ensure the repair was successful and meets performance standards.,34,Multimodal_Perception,0.6867,0.1634,0.6867,0.0655,0.0844
4.A.3.b.4.I09.D03,8,"Document the repair process, including the issue encountered, parts replaced, and test results.",30,LLM,0.6512,0.6512,0.2229,0.0289,0.097
4.A.3.a.1.I07.D01,1,"Review the blueprint to understand the required dimensions, location, and any specific considerations for the trench.",-1,LLM,0.6808,0.6808,0.1683,0.0652,0.0857
4.A.3.a.1.I07.D01,2,"Mark the trench boundaries using spray paint and measuring tape, considering underground utilities and obstacles.",-1,Multimodal_Perception,0.5136,0.1244,0.5136,0.3206,0.0414
4.A.3.a.1.I07.D01,3,"Begin digging the trench using a shovel, maintaining the required depth and width.",-1,Embodied,0.7116,0.108,0.132,0.7116,0.0484
4.A.3.a.1.I07.D01,4,Periodically check the depth and width of the trench using a measuring tape and adjust digging as needed.,-1,Multimodal_Perception,0.7373,0.0826,0.7373,0.1445,0.0356
4.A.3.a.1.I07.D01,5,Remove any obstacles like rocks or roots encountered during digging.,-1,Embodied,0.5891,0.0612,0.3026,0.5891,0.047
4.A.3.a.1.I07.D01,6,"Visually inspect the completed trench for any sharp edges, loose soil, or inconsistencies.",-1,Multimodal_Perception,0.8824,0.0478,0.8824,0.0551,0.0147
4.A.3.a.1.I07.D01,7,Signal to the foreman or supervisor that the trench is complete and ready for inspection.,-1,Multimodal_Perception,0.5416,0.1208,0.5416,0.223,0.1146
4.A.1.a.2.I01.D03,1,"Approach the engine control panel, ensuring all safety protocols are followed.",34,Multimodal_Perception,0.3372,0.193,0.3372,0.32,0.1497
4.A.1.a.2.I01.D03,2,"Review the engine's operational parameters displayed on the control panel: temperature, pressure, fuel flow, and vibration levels.",34,Multimodal_Perception,0.6524,0.256,0.6524,0.0394,0.0522
4.A.1.a.2.I01.D03,3,Listen for any unusual noises or vibrations from the engine.,34,Multimodal_Perception,0.9034,0.0197,0.9034,0.0498,0.0271
4.A.1.a.2.I01.D03,4,Compare observed data to historical trends and expected norms.,17,LLM,0.639,0.639,0.2416,0.024,0.0955
4.A.1.a.2.I01.D03,5,Identify any potential issues or anomalies based on the gathered data.,17,LLM,0.6318,0.6318,0.2906,0.0132,0.0645
4.A.1.a.2.I01.D03,6,"If anomalies are detected, take appropriate action to address the issue (e.g., adjusting settings, scheduling maintenance).",-1,Multimodal_Perception,0.3909,0.2846,0.3909,0.091,0.2335
4.A.1.a.2.I01.D03,7,"Document the monitoring results, actions taken, and any identified issues in the maintenance log.",-1,LLM,0.7676,0.7676,0.1856,0.0121,0.0347
4.A.3.b.1.I06.D02,1,"Greet the patient, explain the procedure, and confirm their identity.",1,Human_Bound,0.7931,0.0737,0.076,0.0573,0.7931
4.A.3.b.1.I06.D02,2,Position the patient on the imaging table according to the specific imaging protocol.,1,Human_Bound,0.4753,0.176,0.132,0.2167,0.4753
4.A.3.b.1.I06.D02,3,"Adjust the imaging equipment settings (kVp, mA, exposure time) based on the patient's size and the suspected condition.",1,Human_Bound,0.4014,0.1269,0.3542,0.1175,0.4014
4.A.3.b.1.I06.D02,4,Align the imaging equipment over the target area and ensure proper collimation.,-1,Embodied,0.4919,0.0951,0.3001,0.4919,0.1129
4.A.3.b.1.I06.D02,5,Instruct the patient on proper positioning and breathing techniques during image capture.,1,Human_Bound,0.4652,0.1269,0.2779,0.13,0.4652
4.A.3.b.1.I06.D02,6,Initiate the image capture sequence.,-1,Embodied,0.3523,0.1671,0.3157,0.3523,0.1649
4.A.3.b.1.I06.D02,7,"Review the captured image for quality, clarity, and proper positioning.",-1,Multimodal_Perception,0.6613,0.1722,0.6613,0.0753,0.0913
4.A.3.b.1.I06.D02,8,"Repeat image capture if necessary, adjusting patient positioning or equipment settings.",1,Multimodal_Perception,0.4309,0.1569,0.4309,0.1482,0.2641
4.A.3.b.1.I06.D02,9,"Save the image to the hospital's PACS system, labeling it with patient information and relevant details.",1,LLM,0.3329,0.3329,0.2087,0.167,0.2915
4.A.3.b.4.I02.D10,1,Review the excavator's maintenance log and schedule to identify tasks for the day.,-1,Multimodal_Perception,0.5088,0.3815,0.5088,0.0831,0.0265
4.A.3.b.4.I02.D10,2,"Don personal protective equipment (PPE) including hard hat, safety glasses, gloves, and steel-toe boots.",5,Embodied,0.5971,0.0553,0.2698,0.5971,0.0777
4.A.3.b.4.I02.D10,3,"Access designated service points on the excavator, using ladders and walkways.",-1,Embodied,0.7731,0.0233,0.1859,0.7731,0.0177
4.A.3.b.4.I02.D10,4,"Visually inspect the excavator for any visible damage, leaks, or wear, focusing on hydraulic lines, components, and safety features.",-1,Multimodal_Perception,0.9232,0.0301,0.9232,0.0363,0.0105
4.A.3.b.4.I02.D10,5,"Check and top off fluid levels (hydraulic oil, coolant) as needed.",34,Multimodal_Perception,0.6592,0.1027,0.6592,0.1691,0.069
4.A.3.b.4.I02.D10,6,Lubricate moving parts and grease points according to the manufacturer's specifications.,34,Embodied,0.4821,0.1561,0.3284,0.4821,0.0334
4.A.3.b.4.I02.D10,7,"Test the excavator's systems, including controls, hydraulics, and safety features, to ensure they are functioning properly.",-1,Multimodal_Perception,0.7613,0.0845,0.7613,0.1275,0.0267
4.A.3.b.4.I02.D10,8,Record completed maintenance tasks and any observed issues in the excavator's log.,30,Multimodal_Perception,0.6624,0.2602,0.6624,0.0513,0.0261
4.A.3.b.4.I02.D10,9,"Secure all tools and equipment, ensuring the work area is clean and safe.",-1,Embodied,0.528,0.0686,0.3767,0.528,0.0266
4.A.2.a.3.I03.D01,1,"Define the scope and objectives of the audit based on the client's industry, regulatory requirements, and potential risk areas.",3,LLM,0.6848,0.6848,0.0673,0.0347,0.2131
4.A.2.a.3.I03.D01,2,"Gather relevant documentation, including financial statements, regulatory filings, policies, and procedures.",-1,LLM,0.876,0.876,0.0284,0.0213,0.0743
4.A.2.a.3.I03.D01,3,"Conduct interviews with key personnel to gain insights into the company's operations, controls, and compliance practices.",-1,LLM,0.4421,0.4421,0.1961,0.0576,0.3042
4.A.2.a.3.I03.D01,4,"Analyze the collected data to identify potential discrepancies, risks, or areas of non-compliance.",17,LLM,0.6604,0.6604,0.2591,0.0153,0.0653
4.A.2.a.3.I03.D01,5,Perform tests and procedures to verify the accuracy and completeness of financial records and compliance documentation.,16,LLM,0.5701,0.5701,0.2626,0.0529,0.1144
4.A.2.a.3.I03.D01,6,"Document all findings, including identified issues, supporting evidence, and recommendations for improvement.",17,LLM,0.8941,0.8941,0.0357,0.0074,0.0628
4.A.2.a.3.I03.D01,7,"Present the audit findings and recommendations to the client, facilitating discussion and addressing any questions.",3,Human_Bound,0.6579,0.2985,0.0301,0.0135,0.6579
4.A.2.a.3.I03.D01,8,"Finalize the audit report, incorporating client feedback and ensuring all findings are adequately addressed.",3,LLM,0.5432,0.5432,0.0819,0.0401,0.3348
4.A.4.a.2.I03.D20,1,"Access the team's communication platform (e.g., Slack, Microsoft Teams) and navigate to the relevant channel or direct message.",-1,Human_Bound,0.391,0.3309,0.185,0.0932,0.391
4.A.4.a.2.I03.D20,2,"Review relevant context: recent messages, bug reports, code snippets.",-1,LLM,0.593,0.593,0.1684,0.0252,0.2134
4.A.4.a.2.I03.D20,3,"Compose a clear message outlining the information to be shared (e.g., code changes, issues encountered, questions).",-1,LLM,0.7057,0.7057,0.0388,0.0173,0.2382
4.A.4.a.2.I03.D20,4,"Attach relevant files (code, screenshots) if necessary.",-1,LLM,0.4411,0.4411,0.2069,0.1661,0.186
4.A.4.a.2.I03.D20,5,Send the message.,-1,Human_Bound,0.649,0.1498,0.0624,0.1389,0.649
4.A.4.a.2.I03.D20,6,"Engage in discussion: respond to questions, clarify points, and collaborate on solutions.",22,Human_Bound,0.5583,0.3574,0.0335,0.0508,0.5583
4.A.4.a.2.I03.D20,7,Summarize key takeaways and agreed-upon next steps.,-1,LLM,0.8012,0.8012,0.0167,0.0165,0.1657
4.A.1.a.1.I02.D11,1,Retrieve the blueprints and assembly instructions from the digital repository.,-1,LLM,0.5115,0.5115,0.2233,0.187,0.0781
4.A.1.a.1.I02.D11,2,"Review the title block and legend to understand the scale, symbols, and abbreviations used.",-1,LLM,0.6175,0.6175,0.2724,0.0404,0.0697
4.A.1.a.1.I02.D11,3,Identify key components and their locations on the blueprints.,-1,Multimodal_Perception,0.5021,0.3221,0.5021,0.1502,0.0256
4.A.1.a.1.I02.D11,4,Cross-reference blueprint symbols with the legend and assembly instructions to understand their meanings.,-1,Multimodal_Perception,0.4968,0.3012,0.4968,0.1561,0.0459
4.A.1.a.1.I02.D11,5,Determine the sequence of operations for assembly or construction.,26,LLM,0.4876,0.4876,0.2397,0.2284,0.0443
4.A.1.a.1.I02.D11,6,Identify potential challenges or obstacles based on the blueprints and instructions.,32,LLM,0.6049,0.6049,0.2269,0.0919,0.0763
4.A.1.a.1.I02.D11,7,Document the operational methods and sequences in a clear and concise format.,-1,LLM,0.862,0.862,0.053,0.0282,0.0567
4.A.1.a.1.I02.D11,8,Communicate the operational methods and sequences to the relevant team members.,-1,LLM,0.5358,0.5358,0.0661,0.0547,0.3434
4.A.3.b.4.I09.D02,1,"Review the equipment's maintenance log and manufacturer's manual for scheduled tasks, potential issues, and safety guidelines.",-1,LLM,0.5555,0.5555,0.3724,0.0341,0.0379
4.A.3.b.4.I09.D02,2,"Don appropriate personal protective equipment (PPE) and navigate to the equipment's location, ensuring the area is clear and safe.",5,Embodied,0.5827,0.0489,0.3042,0.5827,0.0642
4.A.3.b.4.I09.D02,3,Power down the equipment and disconnect it from power sources and networks.,34,Embodied,0.403,0.1406,0.3122,0.403,0.1442
4.A.3.b.4.I09.D02,4,"Visually inspect the equipment for any signs of wear, damage, or malfunction.",34,Multimodal_Perception,0.9656,0.0127,0.9656,0.0149,0.0067
4.A.3.b.4.I09.D02,5,Clean the equipment's exterior and interior components using appropriate cleaning solutions and tools.,8,Embodied,0.4342,0.1722,0.3425,0.4342,0.0511
4.A.3.b.4.I09.D02,6,"Perform necessary maintenance tasks, such as replacing worn parts, calibrating sensors, or adjusting settings, referring to the manual as needed.",-1,Multimodal_Perception,0.4956,0.1912,0.4956,0.2047,0.1085
4.A.3.b.4.I09.D02,7,"Reassemble the equipment, reconnect it to power sources and networks, and power it on.",34,Embodied,0.3973,0.1608,0.3565,0.3973,0.0853
4.A.3.b.4.I09.D02,8,Run a test cycle or sample to verify the equipment is functioning correctly and meets performance specifications.,34,Multimodal_Perception,0.6547,0.1868,0.6547,0.0951,0.0634
4.A.3.b.4.I09.D02,9,"Document the maintenance performed, including tasks completed, parts replaced, and any issues encountered or resolved.",30,LLM,0.7646,0.7646,0.1524,0.0209,0.0622
4.A.1.b.3.I02.D02,1,"Review project documents (blueprints, specifications, site plans) to understand the scope, materials, and finishes.",32,LLM,0.7492,0.7492,0.1807,0.0274,0.0428
4.A.1.b.3.I02.D02,2,Identify and quantify all necessary construction materials based on the project documents.,-1,LLM,0.844,0.844,0.0902,0.0461,0.0197
4.A.1.b.3.I02.D02,3,Research current market prices for materials and labor in the project's location.,0,LLM,0.7307,0.7307,0.1536,0.0615,0.0542
4.A.1.b.3.I02.D02,4,Estimate labor costs based on local rates and the project scope.,0,LLM,0.7539,0.7539,0.1048,0.0848,0.0564
4.A.1.b.3.I02.D02,5,"Calculate direct costs (materials, labor) for the project.",0,LLM,0.7264,0.7264,0.099,0.1107,0.0639
4.A.1.b.3.I02.D02,6,"Research and estimate indirect costs (permits, insurance, overhead, contingency).",0,LLM,0.7081,0.7081,0.0955,0.0949,0.1015
4.A.1.b.3.I02.D02,7,Sum up all direct and indirect costs to generate a preliminary estimate.,0,LLM,0.846,0.846,0.0482,0.041,0.0647
4.A.1.b.3.I02.D02,8,Review the preliminary estimate with the project team for accuracy and completeness.,-1,LLM,0.6121,0.6121,0.1567,0.0371,0.1941
4.A.1.b.3.I02.D02,9,"Present the final cost estimate to the client, explaining the breakdown and addressing any questions.",3,Human_Bound,0.5635,0.3654,0.0398,0.0313,0.5635
4.A.1.a.2.I01.D05,1,Approach the industrial air compressor and access the control panel.,33,Multimodal_Perception,0.4757,0.0511,0.4757,0.3949,0.0783
4.A.1.a.2.I01.D05,2,"Review the control panel display, gauges, and log data for any alerts or deviations from normal operating parameters.",34,Multimodal_Perception,0.8186,0.1481,0.8186,0.0139,0.0194
4.A.1.a.2.I01.D05,3,Listen for unusual noises or vibrations coming from the compressor.,33,Multimodal_Perception,0.9085,0.0186,0.9085,0.0437,0.0292
